FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,1012.9922190012634/10.213176779982328/-5298.057108001922,0.0/183.783447/0.0,B319AS300725
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,1020.5621390759837/9.708701093218416/-5223.852508691084,0.0/184.923618/0.0,B319AS300724
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1023.6795344910972/9.7738457474331/-5224.206086612549,0.0/184.975836/0.0,B319AS300723
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1026.7669354686584/9.808290402536862/-5224.387375562715,0.0/184.636273/0.0,B319AS300722
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,1030.087431279774/9.839599363592699/-5224.739545432331,0.0/184.638042/0.0,B319AS300721
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,1034.7505787286566/9.806674271990314/-5214.196299120864,0.0/175.192025/0.0,B319AS300720
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,1022.3749434504009/9.53589418063241/-5201.901419063177,0.0/184.567327/0.0,B319AS300719
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1025.4557084224343/9.588243438303817/-5202.061820659477,0.0/184.515099/0.0,B319AS300718
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1028.572445409164/9.633638230688367/-5202.481922765603,0.0/184.584100/0.0,B319AS300717
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,1031.861364617046/9.66239937397586/-5202.68173807824,0.0/184.166864/0.0,B319AS300716
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1315.2492321275922/1.57341586892083/-2681.8596557866704,0.0/10.469708/0.0,B319AS300684
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1312.361543170181/1.630437116004693/-2681.073439093312,0.0/10.395597/0.0,B319AS300683
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1307.953436679488/1.604818113944341/-2719.009425194289,0.0/12.025393/0.0,B319AS300682
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1304.9347732453193/1.6638326198619375/-2718.428807670698,0.0/11.952385/0.0,B319AS300681
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,1207.9143923731208/1.3225252688909521/-3010.1580123248614,0.0/26.223206/0.0,B319AS300680
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,1188.0267922762498/1.3201168213232262/-3047.9649155180086,0.0/28.961176/0.0,B319AS300679
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,1127.0961651290777/1.714354674357989/-3138.159321270971,0.0/29.021012/0.0,B319AS300678
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5381.fbx,1129.78181450112/1.660139045234843/-3139.674351163154,0.0/28.925250/0.0,B319AS300677
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1133.0532813561297/1.6056807223009766/-3141.6559575057513,0.0/28.962312/0.0,B319AS300676
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,1135.599092112229/1.5593157086795062/-3143.06111880283,0.0/28.830592/0.0,B319AS300675
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,1122.4111274481238/1.601824423947683/-3167.1921622934397,0.0/29.565261/0.0,B319AS300674
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1119.5893497986513/1.6503301447195027/-3165.4945648028083,0.0/28.957811/0.0,B319AS300673
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,1116.3220791258443/1.7124892931700921/-3163.9108552001285,0.0/29.025378/0.0,B319AS300672
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1102.305973656232/1.6793869246121091/-3196.435549246675,0.0/28.957811/0.0,B319AS300671
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5381.fbx,1099.3476421763598/1.7355448878753916/-3194.8883260259604,0.0/29.025378/0.0,B319AS300670
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5381.fbx,1091.6233210981081/1.7583507740283943/-3209.0670633421832,0.0/28.517126/0.0,B319AS300669
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,993.4043131260005/1.996387451192896/-3451.532475676301,0.0/22.178445/0.0,B319AS300668
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,990.1968067593309/2.0940346245429686/-3450.2242233871652,0.0/22.180093/0.0,B319AS300667
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,982.342065285102/2.045014321782905/-3478.8177451483753,0.0/22.178445/0.0,B319AS300666
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,979.0679230102398/2.1215421730717865/-3477.5773277410217,0.0/22.180093/0.0,B319AS300665
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,941.0098997326528/2.2352904721018048/-3581.0873004919013,0.0/22.013916/0.0,B319AS300664
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,938.1210020074121/2.313313095665278/-3579.90542707637,0.0/22.014439/0.0,B319AS300663
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,932.6855529933988/2.401368936485854/-3578.1254982254673,0.0/21.449152/0.0,B319AS300662
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,926.0732340059199/2.3178195285580157/-3618.1943815787317,0.0/22.013916/0.0,B319AS300661
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,923.0344022225977/2.3827844181877893/-3617.118147260888,0.0/22.014439/0.0,B319AS300660
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,907.8821960581772/2.4277854215090344/-3663.5037907032192,0.0/22.013916/0.0,B319AS300659
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,904.9348668202257/2.500080880113687/-3662.3292362754823,0.0/22.014439/0.0,B319AS300658
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,841.5153465143744/2.9975546303401117/-3819.955857693118,0.0/15.961389/0.0,B319AS300657
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,844.6192257732329/2.9181410770213816/-3821.191617317967,0.0/15.917136/0.0,B319AS300656
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,835.9256015990712/2.9226577624288406/-3846.471308210606,0.0/15.917136/0.0,B319AS300655
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,832.869925867884/2.998806841947506/-3845.3327521307738,0.0/15.961389/0.0,B319AS300654
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,819.2348867188854/3.1466471794455617/-3897.4880708706064,0.0/15.961389/0.0,B319AS300653
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,822.1839389375696/3.093450657937265/-3898.2063625872975,0.0/15.917136/0.0,B319AS300652
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,811.4312955402581/3.6571004644803464/-4094.4534695488455,0.0/1.278242/0.0,B319AS300651
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,833.2805744293213/4.192923416719652/-4259.069451823649,0.0/345.135536/0.0,B319AS300650
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,834.2429762497395/4.118430638310409/-4249.393415608735,0.0/346.052463/0.0,B319AS300649
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,846.8852794831369/3.957418612455391/-4247.301673445904,0.0/346.368465/0.0,B319AS300648
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,843.9472148484314/3.9988089599314014/-4248.420203519658,0.0/346.225354/0.0,B319AS300647
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,840.9029209413775/4.031928701383994/-4249.26261051591,0.0/346.064879/0.0,B319AS300646
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,837.4990678263614/4.074030283656401/-4250.0806679291745,0.0/346.026134/0.0,B319AS300645
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,853.6188331159982/4.047440019260382/-4273.950383607628,0.0/347.248373/0.0,B319AS300644
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,850.563316197065/4.074667024120706/-4274.7910021964635,0.0/344.946246/0.0,B319AS300643
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,847.5103495136963/4.120544595969936/-4275.532076891709,0.0/345.005460/0.0,B319AS300642
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,844.2761603442825/4.166803910736012/-4276.10666824183,0.0/344.949090/0.0,B319AS300641
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,841.1332347436938/4.226657314054694/-4276.867529354427,0.0/345.040439/0.0,B319AS300640
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,841.9496497777649/4.288493050497091/-4291.4470496290705,0.0/345.135536/0.0,B319AS300639
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,998.1927425375695/5.4606170023779805/-4621.802048247113,0.0/339.363663/0.0,B319AS300638
